0,2,71
0,2,71
0,2,71
0,1,73
0,2,75
0,2,75
0,2,77
0,3,77
0,3,77
0,4,80
0,6,81
0,7,84
0,10,88
0,12,90
0,15,94
0,15,94
0,18,98
0,22,101
0,26,106
0,30,108
0,33,113
0,36,117
0,39,122
1,42,124
1,42,124
0,46,128
0,47,131
0,49,135
0,52,137
0,54,140
0,55,143
0,55,143
0,56,146
1,59,151
0,60,154
0,62,155
0,64,158
0,65,161
0,68,166
0,70,169
0,70,169
0,71,172
0,73,175
0,76,180
0,77,183
0,79,186
0,80,189
0,80,189
0,82,194
0,84,195
0,86,198
0,89,202
0,91,203
0,92,207
0,94,208
0,95,211
0,95,211
0,97,212
0,99,213
0,101,216
0,102,218
1,105,220
0,107,221
0,107,221
0,109,220
0,111,221
0,113,221
0,115,222
0,117,221
1,119,220
0,121,217
2,123,216
2,123,216
1,126,213
2,128,211
2,128,207
3,131,202
5,133,197
3,135,191
3,135,191
6,137,186
6,138,180
7,140,175
7,142,167
10,143,162
12,145,155
12,147,147
15,149,138
15,149,138
20,150,131
22,152,122
28,155,114
32,157,103
38,160,96
45,162,86
45,162,86
50,165,78
57,167,68
64,171,62
71,172,54
77,175,48
85,177,44
85,177,44
96,182,32
96,182,32
102,184,29
107,186,23
114,189,20
119,191,18
125,192,15
130,194,13
130,194,13
136,196,9
141,197,8
147,199,6
152,200,4
158,201,5
162,204,3
162,204,3
167,205,3
172,205,0
176,207,1
181,208,1
187,209,1
189,210,0
195,211,1
199,211,0
203,213,0
203,213,0
208,212,1
210,213,2
215,213,2
218,213,3
220,213,4
222,212,4
222,212,4
225,213,5
226,212,5
229,212,6
231,212,6
232,211,6
234,210,6
235,209,6
237,208,8
237,208,8
239,207,8
239,205,7
241,204,9
242,203,9
243,201,10
244,200,10
244,200,10
245,198,11
246,196,13
247,194,12
249,191,13
249,189,13
250,186,14
250,184,15
252,181,16
252,181,16
252,179,17
252,175,16
252,172,19
254,169,20
253,166,20
254,163,21
254,163,21
254,160,24
254,157,23
254,153,23
254,149,25
255,144,26
255,139,28
254,134,29
254,129,30
254,129,30
254,123,33
255,116,33
255,110,36
255,104,39
253,97,38
255,90,41
255,90,41
254,83,43
254,77,44
254,71,46
253,65,47
253,59,49
251,54,50
252,49,54
253,44,55
253,44,55
252,40,57
252,36,59
251,33,58
251,30,61
250,28,62
250,26,63
250,26,63
249,24,64
249,24,66
249,24,68
248,24,70
248,24,72
247,26,73
247,27,76
246,29,77
246,29,77
247,32,82
248,35,84
247,39,86
246,43,89
246,48,90
247,52,93
247,52,93
248,57,94
246,63,98
248,70,100
248,75,102
248,81,103
249,86,107
249,91,108
249,96,112
249,96,112
251,101,113
251,107,114
252,112,118
252,117,121
252,122,123
253,128,126
253,128,126
253,133,130
253,138,131
253,143,135
254,148,138
255,155,141
254,161,145
254,161,145
255,172,153
255,172,153
254,178,156
255,183,160
255,190,166
255,195,170
255,200,173
254,204,178
254,204,178
255,209,181
254,213,186
254,216,188
255,220,193
254,222,197
255,225,199
255,225,199
255,255,200
